有效 | http://27.156.64.-217:4022 | 中国 福建 福州 电信
e3.woc.iiiya.cn:28888  | 中国 福建 厦门 电信
e2.woc.iiiya.cn:28888  | 中国 福建 厦门 电信



福建电信,#genre#
安徽卫视(高清),http://e2.woc.iiiya.cn:28888/rtp/239.61.5.157:1025
天津卫视(高清),http://e2.woc.iiiya.cn:28888/rtp/239.61.5.67:1025
四川卫视(高清),http://e2.woc.iiiya.cn:28888/rtp/239.61.5.160:1025
江西卫视(高清),http://e2.woc.iiiya.cn:28888/rtp/239.61.5.69:1025
辽宁卫视(高清),http://e2.woc.iiiya.cn:28888/rtp/239.61.5.68:1025
重庆卫视(高清),http://e2.woc.iiiya.cn:28888/rtp/239.61.5.159:1025
北京卫视(高清),http://e2.woc.iiiya.cn:28888/rtp/239.61.4.32:1025
云南卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.63:1025
河南卫视(高清),http://e2.woc.iiiya.cn:28888/rtp/239.61.4.61:1025
海南卫视（高清）,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.190:1025
广西卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.50:1025
陕西卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.40:1025
青海卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.62:1025
宁夏卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.58:1025
吉林卫视（高清）,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.109:1025
山西卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.110:1025
甘肃卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.111:1025
内蒙古卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.112:1025
新疆卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.113:1025
兵团卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.114:1025
西藏卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.115:1025
大湾区卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.170:1025
三沙卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.191:1025
CETV1(高清),http://e2.woc.iiiya.cn:28888/rtp/239.61.5.53:1025
CETV2,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.169:1025
CETV4,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.196:1025
中国气象,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.66:1025
金鹰卡通,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.107:1025
卡酷卡通,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.108:1025
纪实人文(高清),http://e2.woc.iiiya.cn:28888/rtp/239.61.5.51:1025
金鹰纪实,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.171:1025
欢笑剧场4K(高清),http://e2.woc.iiiya.cn:28888/rtp/239.61.5.30:1025
都市剧场(高清),http://e2.woc.iiiya.cn:28888/rtp/239.61.5.33:1025
动漫秀场(高清),http://e2.woc.iiiya.cn:28888/rtp/239.61.5.32:1025
乐游(高清),http://e2.woc.iiiya.cn:28888/rtp/239.61.5.31:1025
法治天地,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.77:1025
金色频道,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.80:1025
快乐垂钓(高清),http://e2.woc.iiiya.cn:28888/rtp/239.61.5.189:1025
生活时尚(高清),http://e2.woc.iiiya.cn:28888/rtp/239.61.5.25:1025
凤凰资讯台,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.47:1025
凤凰中文台,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.48:1025
健康之路,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.203:1025
东方财经,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.78:1025
第一财经,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.161:1025
CHC动作电影,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.169:1025
茶频道,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.167:1025
文物宝库,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.171:1025
梨园频道,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.170:1025
五星体育,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.10:1025
